Date,Date
A2714391F,Arts and recreation services (R) ;  Industry gross value added: Current prices ;
A2714395R,Other services (S) ;  Industry gross value added: Current prices ;
A2529279L,Ownership of dwellings ;  Industry gross value added: Current prices ;
A2478862L,Total all industries ;  Industry gross value added: Current prices ;
A2478863R,Total all industries ;  Industry gross value added - Taxes less subsidies on products: Current prices ;
A2478864T,Total all industries ;  Industry gross value added - Statistical Discrepancy (P): Current prices ;
A2478865V,Total all industries ;  Gross state product: Current prices ;
A2713972K,"Agriculture, forestry and fishing (A) ;  Industry gross value added: Current prices - Percentage Changes ;"
A2713973L,Mining (B) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713974R,Manufacturing (C) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713975T,"Electricity, gas, water and waste services (D) ;  Industry gross value added: Current prices - Percentage Changes ;"
A2713976V,Construction (E) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713977W,Wholesale trade (F) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713978X,Retail trade (G) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713979A,Accommodation and food services (H) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713980K,"Transport, postal and warehousing (I) ;  Industry gross value added: Current prices - Percentage Changes ;"
A2713981L,Information media and telecommunications (J) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713982R,Financial and insurance services (K) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713983T,"Rental, hiring and real estate services (L) ;  Industry gross value added: Current prices - Percentage Changes ;"
A2713984V,"Professional, scientific and technical services (M) ;  Industry gross value added: Current prices - Percentage Changes ;"
A2713985W,Administrative and support services (N) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713986X,Public administration and safety (O) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713987A,Education and training (P) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713988C,Health care and social assistance (Q) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713989F,Arts and recreation services (R) ;  Industry gross value added: Current prices - Percentage Changes ;
A2713990R,Other services (S) ;  Industry gross value added: Current prices - Percentage Changes ;
A2529280W,Ownership of dwellings ;  Industry gross value added: Current prices - Percentage Changes ;
A2478884A,Total all industries ;  Industry gross value added: Current prices - Percentage Changes ;
A2478885C,Total all industries ;  Industry gross value added - Taxes less subsidies on products: Current prices - Percentage Changes ;
A2478886F,Total all industries ;  Gross state product: Current prices - Percentage Changes ;
A2715803J,"Agriculture, forestry and fishing (A) ;  Industry gross value added - Share of Australia: Ratio ;"
A2715804K,Mining (B) ;  Industry gross value added - Share of Australia: Ratio ;
A2715805L,Manufacturing (C) ;  Industry gross value added - Share of Australia: Ratio ;
A2715806R,"Electricity, gas, water and waste services (D) ;  Industry gross value added - Share of Australia: Ratio ;"
A2715807T,Construction (E) ;  Industry gross value added - Share of Australia: Ratio ;
A2715808V,Wholesale trade (F) ;  Industry gross value added - Share of Australia: Ratio ;
A2715809W,Retail trade (G) ;  Industry gross value added - Share of Australia: Ratio ;
A2715810F,Accommodation and food services (H) ;  Industry gross value added - Share of Australia: Ratio ;
A2715811J,"Transport, postal and warehousing (I) ;  Industry gross value added - Share of Australia: Ratio ;"
A2715812K,Information media and telecommunications (J) ;  Industry gross value added - Share of Australia: Ratio ;
A2715813L,Financial and insurance services (K) ;  Industry gross value added - Share of Australia: Ratio ;
A2715814R,"Rental, hiring and real estate services (L) ;  Industry gross value added - Share of Australia: Ratio ;"
A2715815T,"Professional, scientific and technical services (M) ;  Industry gross value added - Share of Australia: Ratio ;"
A2715816V,Administrative and support services (N) ;  Industry gross value added - Share of Australia: Ratio ;
A2715817W,Public administration and safety (O) ;  Industry gross value added - Share of Australia: Ratio ;
A2715818X,Education and training (P) ;  Industry gross value added - Share of Australia: Ratio ;
A2715819A,Health care and social assistance (Q) ;  Industry gross value added - Share of Australia: Ratio ;
A2715940C,Arts and recreation services (R) ;  Industry gross value added - Share of Australia: Ratio ;
A2715949X,Other services (S) ;  Industry gross value added - Share of Australia: Ratio ;
A2529281X,Ownership of dwellings ;  Industry gross value added - Share of Australia: Ratio ;
A2478668J,Total all industries ;  Industry gross value added - Share - Taxes less subsidies on products: Ratio ;
A2478670V,Total all industries ;  Industry gross value added - Share - Gross state product: Ratio ;
A2714124L,"Agriculture, forestry and fishing (A) ;  Industry gross value added: Chain Volume Measures - Revisions to Percentage Changes ;"
A2714125R,Mining (B) ;  Industry gross value added: Chain Volume Measures - Revisions to Percentage Changes ;
A2714126T,Manufacturing (C) ;  Industry gross value added: Chain Volume Measures - Revisions to Percentage Changes ;
A2714127V,"Electricity, gas, water and waste services (D) ;  Industry gross value added: Chain Volume Measures - Revisions to Percentage Changes ;"
